NOME, VERTICE, INTERMEDIACAO
BHW1,1,0.136364
BHW1,2,0.166667
BHW1,3,0.0454545
BHW1,4,0
BHW1,5,0.106061
BHW1,6,0.287879
BHW1,7,0.166667
BHW1,8,0.121212
BHW1,9,0.106061
BHW1,10,0.0454545
BHW1,11,0
BHW1,12,0.166667
BHW10,1,0
BHW10,2,0.049617
BHW10,3,0
BHW10,4,0.0989011
BHW10,5,0.0602731
BHW10,6,0
BHW10,7,0.0546121
BHW10,8,0.0669331
BHW10,9,0.0872461
BHW10,10,0.106893
BHW10,11,0.201465
BHW10,12,0.130869
BHW10,13,0.01332
BHW10,14,0.00532801
BHW10,15,0.044955
BHW10,16,0.020979
BHW10,17,0
BHW10,18,0.155511
BHW10,19,0.174159
BHW10,20,0.10323
BHW10,21,0.237429
BHW10,22,0.219114
BHW10,23,0.100899
BHW10,24,0.0952381
BHW10,25,0.0775891
BHW10,26,0.0576091
BHW10,27,0
BHW10,28,0.004995
BHW10,29,0
BHW10,30,0
BHW10,31,0.0935731
BHW10,32,0.0789211
BHW10,33,0.032301
BHW10,34,0
BHW10,35,0.033633
BHW10,36,0
BHW10,37,0.043623
BHW10,38,0
BHW10,39,0.0626041
BHW10,40,0.0755911
BHW10,41,0.135864
BHW10,42,0.190143
BHW10,43,0.119547
BHW10,44,0.253746
BHW10,45,0
BHW10,46,0.226773
BHW10,47,0.293373
BHW10,48,0.0536131
BHW10,49,0.28305
BHW10,50,0.122877
BHW10,51,0.175158
BHW10,52,0.036297
BHW10,53,0.016983
BHW10,54,0
BHW10,55,0
BHW10,56,0.0685981
BHW10,57,0.029304
BHW10,58,0.196137
BHW10,59,0.224775
BHW10,60,0.157176
BHW10,61,0
BHW10,62,0.120213
BHW10,63,0.049617
BHW10,64,0
BHW10,65,0
BHW10,66,0.024975
BHW10,67,0.0572761
BHW10,68,0
BHW10,69,0.0915751
BHW10,70,0
BHW10,71,0.024975
BHW10,72,0.0959041
BHW10,73,0.024975
BHW10,74,0
BHW10,75,0.0959041
BHW10,76,0.124875
BHW10,77,0.028305
BHW10,78,0
BHW2,1,0.25641
BHW2,2,0.147436
BHW2,3,0.115385
BHW2,4,0.0384615
BHW2,5,0.24359
BHW2,6,0.24359
BHW2,7,0.0192308
BHW2,8,0.0192308
BHW2,9,0.0769231
BHW2,10,0.185897
BHW2,11,0.0961538
BHW2,12,0.294872
BHW2,13,0
BHW3,1,0.164835
BHW3,2,0.252747
BHW3,3,0
BHW3,4,0
BHW3,5,0.0549451
BHW3,6,0.186813
BHW3,7,0
BHW3,8,0.043956
BHW3,9,0.032967
BHW3,10,0.131868
BHW3,11,0.0549451
BHW3,12,0.0549451
BHW3,13,0.0659341
BHW3,14,0
BHW4,1,0.469697
BHW4,2,0.0757576
BHW4,3,0.143939
BHW4,4,0.151515
BHW4,5,0.030303
BHW4,6,0
BHW4,7,0.151515
BHW4,8,0.159091
BHW4,9,0.00757576
BHW4,10,0
BHW4,11,0.00757576
BHW4,12,0
BHW5,1,0.454878
BHW5,2,0.215854
BHW5,3,0.206098
BHW5,4,0.131707
BHW5,5,0.0743902
BHW5,6,0.243902
BHW5,7,0.260976
BHW5,8,0.0817073
BHW5,9,0.00609756
BHW5,10,0
BHW5,11,0.0804878
BHW5,12,0.095122
BHW5,13,0.228049
BHW5,14,0
BHW5,15,0.00731707
BHW5,16,0.0439024
BHW5,17,0.106098
BHW5,18,0.128049
BHW5,19,0
BHW5,20,0.0756098
BHW5,21,0.0170732
BHW5,22,0.10122
BHW5,23,0
BHW5,24,0.00487805
BHW5,25,0.0402439
BHW5,26,0
BHW5,27,0.0378049
BHW5,28,0
BHW5,29,0.0231707
BHW5,30,0.0195122
BHW5,31,0.0097561
BHW5,32,0.00487805
BHW5,33,0.158537
BHW5,34,0.0804878
BHW5,35,0.00731707
BHW5,36,0.112195
BHW5,37,0.097561
BHW5,38,0.0134146
BHW5,39,0.0390244
BHW5,40,0
BHW5,41,0
BHW6,1,0.454878
BHW6,2,0.215854
BHW6,3,0.206098
BHW6,4,0.131707
BHW6,5,0.0743902
BHW6,6,0.243902
BHW6,7,0.260976
BHW6,8,0.0817073
BHW6,9,0.00609756
BHW6,10,0
BHW6,11,0.0804878
BHW6,12,0.095122
BHW6,13,0.228049
BHW6,14,0
BHW6,15,0.00731707
BHW6,16,0.0439024
BHW6,17,0.106098
BHW6,18,0.128049
BHW6,19,0
BHW6,20,0.0756098
BHW6,21,0.0170732
BHW6,22,0.10122
BHW6,23,0
BHW6,24,0.00487805
BHW6,25,0.0402439
BHW6,26,0
BHW6,27,0.0378049
BHW6,28,0
BHW6,29,0.0231707
BHW6,30,0.0195122
BHW6,31,0.0097561
BHW6,32,0.00487805
BHW6,33,0.158537
BHW6,34,0.0804878
BHW6,35,0.00731707
BHW6,36,0.112195
BHW6,37,0.097561
BHW6,38,0.0134146
BHW6,39,0.0390244
BHW6,40,0
BHW6,41,0
BHW7,1,0
BHW7,2,0.00470588
BHW7,3,0.0345098
BHW7,4,0.00156863
BHW7,5,0
BHW7,6,0.0368627
BHW7,7,0.0407843
BHW7,8,0.0329412
BHW7,9,0.0964706
BHW7,10,0.00313725
BHW7,11,0.220392
BHW7,12,0.222745
BHW7,13,0.254118
BHW7,14,0.257255
BHW7,15,0.312157
BHW7,16,0.0564706
BHW7,17,0.00313725
BHW7,18,0
BHW7,19,0.221961
BHW7,20,0.00392157
BHW7,21,0.0196078
BHW7,22,0
BHW7,23,0.178824
BHW7,24,0.0196078
BHW7,25,0.014902
BHW7,26,0.237647
BHW7,27,0.0172549
BHW7,28,0.027451
BHW7,29,0.0211765
BHW7,30,0.213333
BHW7,31,0.160784
BHW7,32,0.0713725
BHW7,33,0.0156863
BHW7,34,0.243137
BHW7,35,0.135686
BHW7,36,0.183529
BHW7,37,0.22902
BHW7,38,0
BHW7,39,0
BHW7,40,0.116863
BHW7,41,0.067451
BHW7,42,0.0690196
BHW7,43,0.0894118
BHW7,44,0.0305882
BHW7,45,0.0219608
BHW7,46,0
BHW7,47,0.0360784
BHW7,48,0.00784314
BHW7,49,0
BHW7,50,0
BHW7,51,0
BHW8,1,0
BHW8,2,0.00470588
BHW8,3,0.0345098
BHW8,4,0.00156863
BHW8,5,0
BHW8,6,0.0368627
BHW8,7,0.0407843
BHW8,8,0.0329412
BHW8,9,0.0964706
BHW8,10,0.00313725
BHW8,11,0.220392
BHW8,12,0.222745
BHW8,13,0.254118
BHW8,14,0.257255
BHW8,15,0.312157
BHW8,16,0.0564706
BHW8,17,0.00313725
BHW8,18,0
BHW8,19,0.221961
BHW8,20,0.00392157
BHW8,21,0.0196078
BHW8,22,0
BHW8,23,0.178824
BHW8,24,0.0196078
BHW8,25,0.014902
BHW8,26,0.237647
BHW8,27,0.0172549
BHW8,28,0.027451
BHW8,29,0.0211765
BHW8,30,0.213333
BHW8,31,0.160784
BHW8,32,0.0713725
BHW8,33,0.0156863
BHW8,34,0.243137
BHW8,35,0.135686
BHW8,36,0.183529
BHW8,37,0.22902
BHW8,38,0
BHW8,39,0
BHW8,40,0.116863
BHW8,41,0.067451
BHW8,42,0.0690196
BHW8,43,0.0894118
BHW8,44,0.0305882
BHW8,45,0.0219608
BHW8,46,0
BHW8,47,0.0360784
BHW8,48,0.00784314
BHW8,49,0
BHW8,50,0
BHW8,51,0
BHW9,1,0
BHW9,2,0.00470588
BHW9,3,0.0345098
BHW9,4,0.00156863
BHW9,5,0
BHW9,6,0.0368627
BHW9,7,0.0407843
BHW9,8,0.0329412
BHW9,9,0.0964706
BHW9,10,0.00313725
BHW9,11,0.220392
BHW9,12,0.222745
BHW9,13,0.254118
BHW9,14,0.257255
BHW9,15,0.312157
BHW9,16,0.0564706
BHW9,17,0.00313725
BHW9,18,0
BHW9,19,0.221961
BHW9,20,0.00392157
BHW9,21,0.0196078
BHW9,22,0
BHW9,23,0.178824
BHW9,24,0.0196078
BHW9,25,0.014902
BHW9,26,0.237647
BHW9,27,0.0172549
BHW9,28,0.027451
BHW9,29,0.0211765
BHW9,30,0.213333
BHW9,31,0.160784
BHW9,32,0.0713725
BHW9,33,0.0156863
BHW9,34,0.243137
BHW9,35,0.135686
BHW9,36,0.183529
BHW9,37,0.22902
BHW9,38,0
BHW9,39,0
BHW9,40,0.116863
BHW9,41,0.067451
BHW9,42,0.0690196
BHW9,43,0.0894118
BHW9,44,0.0305882
BHW9,45,0.0219608
BHW9,46,0
BHW9,47,0.0360784
BHW9,48,0.00784314
BHW9,49,0
BHW9,50,0
BHW9,51,0
CBMix11,1,0.00170503
CBMix11,2,0.00788576
CBMix11,3,0.0110827
CBMix11,4,0.028133
CBMix11,5,0.0607417
CBMix11,6,0.057971
CBMix11,7,0.0240835
CBMix11,8,0.00682012
CBMix11,9,0.0415601
CBMix11,10,0.00660699
CBMix11,11,0.0773657
CBMix11,12,0.0400682
CBMix11,13,0.0709719
CBMix11,14,0.0238704
CBMix11,15,0.0230179
CBMix11,16,0.00937766
CBMix11,17,0.0249361
CBMix11,18,0.16688
CBMix11,19,0.127664
CBMix11,20,0.0961211
CBMix11,21,0.0607417
CBMix11,22,0.16006
CBMix11,23,0.0583973
CBMix11,24,0.0824808
CBMix11,25,0.0477408
CBMix11,26,0.026428
CBMix11,27,0.122336
CBMix11,28,0.148977
CBMix11,29,0.0654305
CBMix11,30,0.0758738
CBMix11,31,0.0436914
CBMix11,32,0.0213129
CBMix11,33,0.00767263
CBMix11,34,0.12809
CBMix11,35,0.142583
CBMix11,36,0.145567
CBMix11,37,0.12532
CBMix11,38,0.207161
CBMix11,39,0.0965473
CBMix11,40,0.0718244
CBMix11,41,0.0502984
CBMix11,42,0.0554135
CBMix11,43,0.0780051
CBMix11,44,0.00788576
CBMix11,45,0.0213129
CBMix11,46,0.0321824
CBMix11,47,0.145141
CBMix11,48,0.217818
CBMix11,49,0.254689
CBMix11,50,0.0963342
CBMix11,51,0.0846121
CBMix11,52,0.117434
CBMix11,53,0.0029838
CBMix11,54,0.00426257
CBMix11,55,0.0590367
CBMix11,56,0.0112958
CBMix11,57,0.0155584
CBMix11,58,0.0899403
CBMix11,59,0.0899403
CBMix11,60,0.091006
CBMix11,61,0.0515772
CBMix11,62,0.00255754
CBMix11,63,0.00341006
CBMix11,64,0.0234442
CBMix11,65,0.0110827
CBMix11,66,0.0309037
CBMix11,67,0.00511509
CBMix11,68,0.0319693
CBMix11,69,0
CBMix12,1,0.0142248
CBMix12,2,0.0369844
CBMix12,3,0.0113798
CBMix12,4,0.0540541
CBMix12,5,0.0540541
CBMix12,6,0.041963
CBMix12,7,0.113798
CBMix12,8,0.0974395
CBMix12,9,0.13229
CBMix12,10,0.206259
CBMix12,11,0.0746799
CBMix12,12,0.0220484
CBMix12,13,0.0910384
CBMix12,14,0.0355619
CBMix12,15,0.190612
CBMix12,16,0.16074
CBMix12,17,0.401849
CBMix12,18,0.239687
CBMix12,19,0.0426743
CBMix12,20,0.141536
CBMix12,21,0.324324
CBMix12,22,0.362731
CBMix12,23,0.190612
CBMix12,24,0.0732575
CBMix12,25,0.225462
CBMix12,26,0.20697
CBMix12,27,0.300853
CBMix12,28,0.0661451
CBMix12,29,0.124467
CBMix12,30,0.0405405
CBMix12,31,0.130156
CBMix12,32,0.0320057
CBMix12,33,0.0320057
CBMix12,34,0.0547653
CBMix12,35,0.0526316
CBMix12,36,0.0142248
CBMix12,37,0.0369844
CBMix12,38,0.00640114
CBMix13,1,0.00800895
CBMix13,2,0.00800895
CBMix13,3,0.0146756
CBMix13,4,0.0316779
CBMix13,5,0.0441163
CBMix13,6,0.061566
CBMix13,7,0.0131096
CBMix13,8,0.0420582
CBMix13,9,0.0435794
CBMix13,10,0.0435794
CBMix13,11,0.0181655
CBMix13,12,0.0181655
CBMix13,13,0.0098434
CBMix13,14,0.0268456
CBMix13,15,0.0412975
CBMix13,16,0.0195078
CBMix13,17,0.0484564
CBMix13,18,0.0119463
CBMix13,19,0.0395526
CBMix13,20,0.0141387
CBMix13,21,0.0181655
CBMix13,22,0.0209843
CBMix13,23,0.0209843
CBMix13,24,0.041566
CBMix13,25,0.0327069
CBMix13,26,0.0412975
CBMix13,27,0.121611
CBMix13,28,0.117584
CBMix13,29,0.0660403
CBMix13,30,0.0580761
CBMix13,31,0.0702013
CBMix13,32,0.0259955
CBMix13,33,0.0300224
CBMix13,34,0.014094
CBMix13,35,0.0508277
CBMix13,36,0.0831767
CBMix13,37,0.129217
CBMix13,38,0.116242
CBMix13,39,0.170157
CBMix13,40,0.170157
CBMix13,41,0.0872931
CBMix13,42,0.0563311
CBMix13,43,0.0300224
CBMix13,44,0.00863535
CBMix13,45,0.0348098
CBMix13,46,0.0647875
CBMix13,47,0.0889038
CBMix13,48,0.174273
CBMix13,49,0.114855
CBMix13,50,0.179821
CBMix13,51,0.141029
CBMix13,52,0.134228
CBMix13,53,0.144564
CBMix13,54,0.0941834
CBMix13,55,0.0085906
CBMix13,56,0.0288143
CBMix13,57,0.0257718
CBMix13,58,0.0519463
CBMix13,59,0.0475615
CBMix13,60,0.0289933
CBMix13,61,0.104519
CBMix13,62,0.029396
CBMix13,63,0.145324
CBMix13,64,0.118479
CBMix13,65,0.0531096
CBMix13,66,0.137092
CBMix13,67,0.125638
CBMix13,68,0.0470246
CBMix13,69,0.0466667
CBMix13,70,0.0209843
CBMix13,71,0.0298434
CBMix13,72,0.0262192
CBMix13,73,0.0651454
CBMix13,74,0.143043
CBMix13,75,0.122148
CBMix13,76,0.235034
CBMix13,77,0.198076
CBMix13,78,0.132707
CBMix13,79,0.049038
CBMix13,80,0.125414
CBMix13,81,0.0360179
CBMix13,82,0.0238926
CBMix13,83,0.00756152
CBMix13,84,0.061745
CBMix13,85,0.0365101
CBMix13,86,0.0888591
CBMix13,87,0.1183
CBMix13,88,0.0904251
CBMix13,89,0.0751678
CBMix13,90,0.117181
CBMix13,91,0.0395078
CBMix13,92,0.146264
CBMix13,93,0.0363758
CBMix13,94,0.00527964
CBMix13,95,0.0218345
CBMix13,96,0.0913199
CBMix13,97,0.0656376
CBMix13,98,0.0977629
CBMix13,99,0.0719016
CBMix13,100,0.106264
CBMix13,101,0.0455928
CBMix13,102,0.128949
CBMix13,103,0.153512
CBMix13,104,0.178971
CBMix13,105,0.070604
CBMix13,106,0.070604
CBMix13,107,0.00174497
CBMix13,108,0.0318121
CBMix13,109,0.0804027
CBMix13,110,0.0645638
CBMix13,111,0.0442506
CBMix13,112,0.106622
CBMix13,113,0.0311857
CBMix13,114,0.0825503
CBMix13,115,0.0798658
CBMix13,116,0.081387
CBMix13,117,0.0807159
CBMix13,118,0.0127069
CBMix13,119,0.038613
CBMix13,120,0.0835347
CBMix13,121,0.0252796
CBMix13,122,0.0608949
CBMix13,123,0.0361074
CBMix13,124,0.089217
CBMix13,125,0.0774049
CBMix13,126,0.170872
CBMix13,127,0.168277
CBMix13,128,0.0393736
CBMix13,129,0.000357942
CBMix13,130,0.0159284
CBMix13,131,0.058255
CBMix13,132,0.0720358
CBMix13,133,0.0652349
CBMix13,134,0.0406264
CBMix13,135,0.0497539
CBMix13,136,0.0349441
CBMix13,137,0.074094
CBMix13,138,0.0234899
CBMix13,139,0.0133781
CBMix13,140,8.94855e-05
CBMix13,141,0.00272931
CBMix13,142,0.013915
CBMix13,143,0.013915
CBMix13,144,0.0183445
CBMix13,145,0.0367338
CBMix13,146,0.0344072
CBMix13,147,0.0592841
CBMix13,148,0.0182103
CBMix13,149,0.0234899
CBMix13,150,0.0133781
CBMix14,1,0
CBMix14,2,0.0203615
CBMix14,3,0.0178449
CBMix14,4,0.0466712
CBMix14,5,0.0528483
CBMix14,6,0.0391215
CBMix14,7,0.0183024
CBMix14,8,0.0150995
CBMix14,9,0.000457561
CBMix14,10,0.00183024
CBMix14,11,0.0416381
